"identifier","preflabel","altLabel","uri"
"SDN:P06::UNSM","Newtons per square metre","N/m^2","http://vocab.nerc.ac.uk/collection/P06/current/UNSM/"
"SDN:P06::XXXX","Not applicable","NA","http://vocab.nerc.ac.uk/collection/P06/current/XXXX/"
"SDN:P06::UKWN","Not known","Unknown","http://vocab.nerc.ac.uk/collection/P06/current/UKWN/"
"SDN:P06::USPC","Not specified","Unspec.","http://vocab.nerc.ac.uk/collection/P06/current/USPC/"
"SDN:P06::NCM3","Number per cubic centimetre","#/cm^3","http://vocab.nerc.ac.uk/collection/P06/current/NCM3/"
"SDN:P06::UPMM","Number per cubic metre","#/m^3","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"SDN:P06::UNPG","Number per gram","#/g","http://vocab.nerc.ac.uk/collection/P06/current/UNPG/"
"SDN:P06::NOPH","Number per hour","#/h","http://vocab.nerc.ac.uk/collection/P06/current/NOPH/"
"SDN:P06::UNAH","Number per individual per hour","#/ind/h","http://vocab.nerc.ac.uk/collection/P06/current/UNAH/"
"SDN:P06::UCPL","Number per litre","#/l","http://vocab.nerc.ac.uk/collection/P06/current/UCPL/"
"SDN:P06::NOPM","Number per metre","#/m","http://vocab.nerc.ac.uk/collection/P06/current/NOPM/"
"SDN:P06::UCUL","Number per microlitre","#/ul","http://vocab.nerc.ac.uk/collection/P06/current/UCUL/"
"SDN:P06::UCML","Number per millilitre","#/ml","http://vocab.nerc.ac.uk/collection/P06/current/UCML/"
"SDN:P06::UCNL","Number per nanolitre","#/nl","http://vocab.nerc.ac.uk/collection/P06/current/UCNL/"
"SDN:P06::UVAY","Number per square centimetre per thousand years","#/cm^2/ka","http://vocab.nerc.ac.uk/collection/P06/current/UVAY/"
"SDN:P06::NPKM","Number per square kilometre","#/km^2","http://vocab.nerc.ac.uk/collection/P06/current/NPKM/"
"SDN:P06::UPMS","Number per square metre","#/m^2","http://vocab.nerc.ac.uk/collection/P06/current/UPMS/"
"SDN:P06::UNDX","Number per square metre per day","#/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/UNDX/"
"SDN:P06::OHMM","Ohm metres","ohm.m","http://vocab.nerc.ac.uk/collection/P06/current/OHMM/"
"SDN:P06::UOHM","Ohms","ohm","http://vocab.nerc.ac.uk/collection/P06/current/UOHM/"
"SDN:P06::UPPB","Parts per billion","ppb","http://vocab.nerc.ac.uk/collection/P06/current/UPPB/"
"SDN:P06::UBLV","Parts per billion by volume","ppbv","http://vocab.nerc.ac.uk/collection/P06/current/UBLV/"
"SDN:P06::UPPM","Parts per million","ppm","http://vocab.nerc.ac.uk/collection/P06/current/UPPM/"
"SDN:P06::UMLV","Parts per million by volume","ppmv","http://vocab.nerc.ac.uk/collection/P06/current/UMLV/"
"SDN:P06::UPPE","Parts per ten thousand","pptt","http://vocab.nerc.ac.uk/collection/P06/current/UPPE/"
"SDN:P06::UPPT","Parts per thousand","ppt","http://vocab.nerc.ac.uk/collection/P06/current/UPPT/"
"SDN:P06::UPTH","Parts per thousand per hour","ppt/h","http://vocab.nerc.ac.uk/collection/P06/current/UPTH/"
"SDN:P06::PPTR","Parts per trillion","pptr","http://vocab.nerc.ac.uk/collection/P06/current/PPTR/"
"SDN:P06::UTRV","Parts per trillion by volume","pptrv","http://vocab.nerc.ac.uk/collection/P06/current/UTRV/"
"SDN:P06::PAMT","Pascal metres","Pa.m","http://vocab.nerc.ac.uk/collection/P06/current/PAMT/"
"SDN:P06::PAMS","Pascal metres per second","Pa.m/s","http://vocab.nerc.ac.uk/collection/P06/current/PAMS/"
"SDN:P06::PAM2","Pascal metres per second squared","Pa.m/s^2","http://vocab.nerc.ac.uk/collection/P06/current/PAM2/"
"SDN:P06::PASS","Pascal seconds","Pa.s","http://vocab.nerc.ac.uk/collection/P06/current/PASS/"
"SDN:P06::PPS2","Pascal squared per second squared","Pa^2/s^2","http://vocab.nerc.ac.uk/collection/P06/current/PPS2/"
"SDN:P06::PASX","Pascals","Pa","http://vocab.nerc.ac.uk/collection/P06/current/PASX/"
"SDN:P06::PAPM","Pascals per metre","Pa/m","http://vocab.nerc.ac.uk/collection/P06/current/PAPM/"
"SDN:P06::PAPS","Pascals per second","Pa/s","http://vocab.nerc.ac.uk/collection/P06/current/PAPS/"
"SDN:P06::UPCT","Percent","%","http://vocab.nerc.ac.uk/collection/P06/current/UPCT/"
"SDN:P06::UPCD","Percent per day","%/d","http://vocab.nerc.ac.uk/collection/P06/current/UPCD/"
"SDN:P06::UPCH","Percent per hour","%/h","http://vocab.nerc.ac.uk/collection/P06/current/UPCH/"
"SDN:P06::UPOP","Percent per metre","%/m","http://vocab.nerc.ac.uk/collection/P06/current/UPOP/"
"SDN:P06::UPCW","Percent per week","%/wk","http://vocab.nerc.ac.uk/collection/P06/current/UPCW/"
"SDN:P06::UPDS","Percentage of dry sediment","% dry sed","http://vocab.nerc.ac.uk/collection/P06/current/UPDS/"
"SDN:P06::UPAM","Picoamps per micromole per litre","pA/umol/l","http://vocab.nerc.ac.uk/collection/P06/current/UPAM/"
"SDN:P06::UGPG","Picograms","pg","http://vocab.nerc.ac.uk/collection/P06/current/UGPG/"
"SDN:P06::PGPG","Picograms per gram","pg/g","http://vocab.nerc.ac.uk/collection/P06/current/PGPG/"
"SDN:P06::PGKG","Picograms per kilogram","pg/kg","http://vocab.nerc.ac.uk/collection/P06/current/PGKG/"
"SDN:P06::PGPL","Picograms per litre","pg/l","http://vocab.nerc.ac.uk/collection/P06/current/PGPL/"
"SDN:P06::UPMA","Picomoles per cubic metre","pmol/m^3","http://vocab.nerc.ac.uk/collection/P06/current/UPMA/"
"SDN:P06::UPVT","Picomoles per cubic metre per second","pmol/m^3/s","http://vocab.nerc.ac.uk/collection/P06/current/UPVT/"
"SDN:P06::KGPM","Picomoles per kilogram","pmol/kg","http://vocab.nerc.ac.uk/collection/P06/current/KGPM/"
"SDN:P06::UPML","Picomoles per litre","pmol/l","http://vocab.nerc.ac.uk/collection/P06/current/UPML/"
"SDN:P06::PMLD","Picomoles per litre per day","pmol/l/d","http://vocab.nerc.ac.uk/collection/P06/current/PMLD/"
"SDN:P06::UPMH","Picomoles per litre per hour","pmol/l/h","http://vocab.nerc.ac.uk/collection/P06/current/UPMH/"
"SDN:P06::UPVW","Picomoles per metre per watt per second","pmol/m/W/s","http://vocab.nerc.ac.uk/collection/P06/current/UPVW/"
"SDN:P06::UPMD","Picomoles per square metre per day","pmol/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/UPMD/"
"SDN:P06::PWAV","Picowatts per square centimetre per litre","pW/cm^2/l","http://vocab.nerc.ac.uk/collection/P06/current/PWAV/"
"SDN:P06::PIXY","Pixels","px","http://vocab.nerc.ac.uk/collection/P06/current/PIXY/"
"SDN:P06::URAD","Radians","rad","http://vocab.nerc.ac.uk/collection/P06/current/URAD/"
"SDN:P06::RAPS","Radians per second","rad/s","http://vocab.nerc.ac.uk/collection/P06/current/RAPS/"
"SDN:P06::UTBB","Seconds","s","http://vocab.nerc.ac.uk/collection/P06/current/UTBB/"
"SDN:P06::SCPM","Seconds per metre","s/m","http://vocab.nerc.ac.uk/collection/P06/current/SCPM/"
"SDN:P06::UECA","Siemens per metre","S/m","http://vocab.nerc.ac.uk/collection/P06/current/UECA/"
"SDN:P06::UMTC","Square Metres.Hertz squared","m^2.Hz^2","http://vocab.nerc.ac.uk/collection/P06/current/UMTC/"
"SDN:P06::SQCM","Square centimetres","cm^2","http://vocab.nerc.ac.uk/collection/P06/current/SQCM/"
"SDN:P06::SQCC","Square centimetres per cubic centimetre","cm^2/cm^3","http://vocab.nerc.ac.uk/collection/P06/current/SQCC/"
"SDN:P06::UCMS","Square centimetres per second","cm^2/s","http://vocab.nerc.ac.uk/collection/P06/current/UCMS/"
"SDN:P06::SQKM","Square kilometres","km^2","http://vocab.nerc.ac.uk/collection/P06/current/SQKM/"
"SDN:P06::M2SX","Square metre seconds","m^2.s","http://vocab.nerc.ac.uk/collection/P06/current/M2SX/"
"SDN:P06::M2RD","Square metre seconds per radian","m2.s/rad","http://vocab.nerc.ac.uk/collection/P06/current/M2RD/"
"SDN:P06::UMSQ","Square metres","m^2","http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/"
"SDN:P06::UMHZ","Square metres per Hertz","m^2/Hz","http://vocab.nerc.ac.uk/collection/P06/current/UMHZ/"
"SDN:P06::M2HD","Square metres per Hertz per degree","m^2/Hz/deg","http://vocab.nerc.ac.uk/collection/P06/current/M2HD/"
"SDN:P06::SMPG","Square metres per gram","m^2/g","http://vocab.nerc.ac.uk/collection/P06/current/SMPG/"
"SDN:P06::UMSG","Square metres per gram of dry sediment","m^2/g dry","http://vocab.nerc.ac.uk/collection/P06/current/UMSG/"
"SDN:P06::SQMS","Square metres per second","m^2/s","http://vocab.nerc.ac.uk/collection/P06/current/SQMS/"
"SDN:P06::SQM2","Square metres per second squared","m^2/s^2","http://vocab.nerc.ac.uk/collection/P06/current/SQM2/"
"SDN:P06::UMTN","Square metres per squared Hertz","m^2/Hz^2","http://vocab.nerc.ac.uk/collection/P06/current/UMTN/"
"SDN:P06::UMTB","Square metres.Hertz","m^2.Hz","http://vocab.nerc.ac.uk/collection/P06/current/UMTB/"
"SDN:P06::UMTE","Square metres.Hertz^4","m^2*Hz^4","http://vocab.nerc.ac.uk/collection/P06/current/UMTE/"
"SDN:P06::UMTD","Square metres.cubic Hertz","m^2.Hz^3","http://vocab.nerc.ac.uk/collection/P06/current/UMTD/"
"SDN:P06::USUM","Square microns per millilitre","um^2/ml","http://vocab.nerc.ac.uk/collection/P06/current/USUM/"
"SDN:P06::USVD","Sverdrup","Sv","http://vocab.nerc.ac.uk/collection/P06/current/USVD/"
"SDN:P06::UUTU","Tritium units (10**18H/Tr)","TU","http://vocab.nerc.ac.uk/collection/P06/current/UUTU/"
"SDN:P06::UVLT","Volts","V","http://vocab.nerc.ac.uk/collection/P06/current/UVLT/"
"SDN:P06::UVP5","Volts multiplied by 100000","V*10^5","http://vocab.nerc.ac.uk/collection/P06/current/UVP5/"
"SDN:P06::WSMM","Watt seconds per square metre","W.s/m^2","http://vocab.nerc.ac.uk/collection/P06/current/WSMM/"
"SDN:P06::WATT","Watts","W","http://vocab.nerc.ac.uk/collection/P06/current/WATT/"
"SDN:P06::UWCM","Watts per cubic metre","W/m^3","http://vocab.nerc.ac.uk/collection/P06/current/UWCM/"
"SDN:P06::WPKG","Watts per kilogram","W/kg","http://vocab.nerc.ac.uk/collection/P06/current/WPKG/"
"SDN:P06::WAPM","Watts per metre","W/m","http://vocab.nerc.ac.uk/collection/P06/current/WAPM/"
"SDN:P06::WAPK","Watts per metre per Kelvin","W/m/K","http://vocab.nerc.ac.uk/collection/P06/current/WAPK/"
"SDN:P06::UFAA","Watts per square metre","W/m^2","http://vocab.nerc.ac.uk/collection/P06/current/UFAA/"
"SDN:P06::WMSW","Watts per square metre per inverse metre per steradian","W/m^2/m^-1/sr","http://vocab.nerc.ac.uk/collection/P06/current/WMSW/"
"SDN:P06::WM2M","Watts per square metre per metre","W/m^2/m","http://vocab.nerc.ac.uk/collection/P06/current/WM2M/"
"SDN:P06::WM2S","Watts per square metre per metre per steradian","W/m^2/m/sr","http://vocab.nerc.ac.uk/collection/P06/current/WM2S/"
"SDN:P06::UWNM","Watts per square metre per nanometre","W/m^2/nm","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/"
"SDN:P06::UWNS","Watts per square metre per nanometre per steradian","W/m^2/nm/sr","http://vocab.nerc.ac.uk/collection/P06/current/UWNS/"
"SDN:P06::WMSS","Watts per square metre per steradian","W/m^2/sr","http://vocab.nerc.ac.uk/collection/P06/current/WMSS/"
"SDN:P06::UYRS","Years","yr","http://vocab.nerc.ac.uk/collection/P06/current/UYRS/"
"SDN:P06::UYBP","Years before present","BP","http://vocab.nerc.ac.uk/collection/P06/current/UYBP/"
"SDN:P06::UUPH","pH units","pH units","http://vocab.nerc.ac.uk/collection/P06/current/UUPH/"
"SDN:P06::PPPS","per Pascal per second","/Pa/s","http://vocab.nerc.ac.uk/collection/P06/current/PPPS/"
"SDN:P06::UPCM","per centimetre","/cm","http://vocab.nerc.ac.uk/collection/P06/current/UPCM/"
"SDN:P06::PCUM","per cubic metre","/m^3","http://vocab.nerc.ac.uk/collection/P06/current/PCUM/"
"SDN:P06::M3PS","per cubic metre per second","/m^3/s","http://vocab.nerc.ac.uk/collection/P06/current/M3PS/"
"SDN:P06::UPDY","per day","/d","http://vocab.nerc.ac.uk/collection/P06/current/UPDY/"
"SDN:P06::UFPD","per female per day","#/fem/d","http://vocab.nerc.ac.uk/collection/P06/current/UFPD/"
"SDN:P06::PG01","per gram","/g","http://vocab.nerc.ac.uk/collection/P06/current/PG01/"
"SDN:P06::UPRM","per metre","/m","http://vocab.nerc.ac.uk/collection/P06/current/UPRM/"
"SDN:P06::UMNX","per metre per nanometre","/m/nm","http://vocab.nerc.ac.uk/collection/P06/current/UMNX/"
"SDN:P06::UMNS","per metre per nanometre per steradian","/m/nm/sr","http://vocab.nerc.ac.uk/collection/P06/current/UMNS/"
"SDN:P06::PMPS","per metre per second","/m/s","http://vocab.nerc.ac.uk/collection/P06/current/PMPS/"
"SDN:P06::PMSR","per metre per steradian","/m/sr","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/"
"SDN:P06::PUML","per micromole per litre","/umol/l","http://vocab.nerc.ac.uk/collection/P06/current/PUML/"
"SDN:P06::PMSC","per millisecond","/ms","http://vocab.nerc.ac.uk/collection/P06/current/PMSC/"
"SDN:P06::PRSC","per second","/s","http://vocab.nerc.ac.uk/collection/P06/current/PRSC/"
"SDN:P06::UPSS","per second squared","/s^2","http://vocab.nerc.ac.uk/collection/P06/current/UPSS/"
"SDN:P06::PMSQ","per square metre","/m^2","http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/"
"SDN:P06::M2S2","per square metre per second","/m^2/s","http://vocab.nerc.ac.uk/collection/P06/current/M2S2/"
"SDN:P06::PSTR","per steradian","/sr","http://vocab.nerc.ac.uk/collection/P06/current/PSTR/"
"SDN:P06::XXPY","per year","/yr","http://vocab.nerc.ac.uk/collection/P06/current/XXPY/"
"SDN:P06::UPHI","phi units","phi units","http://vocab.nerc.ac.uk/collection/P06/current/UPHI/"
"SDN:P06::THSC","thousandths of a second","10^-3s","http://vocab.nerc.ac.uk/collection/P06/current/THSC/"
"SDN:P06::UDTM","yyyymmddhh24miss.dd","Date+Time","http://vocab.nerc.ac.uk/collection/P06/current/UDTM/"
